text,target,char_len,word_count
Allah hadayat dey hamey aur hamerey leader sabihan ko be,Positive,47,10
Bohat umda good advice,Positive,19,4
Nice Bohat Aala Dr Khan,Positive,19,5
Acha,Positive,4,1
Allah rehm kare,Positive,13,3
Boht khoob,Positive,9,2
Phar kisa khush raha jub dil ma khushi nahi ha,Positive,37,10
Waqai cream hi to hai jo sab chupakar acha dikha ta hai,Positive,44,12
Qeyamat say pehlay Qeyamat ....,Positive,27,5
Ya Allah shami musalmano ki madad ferma,Positive,33,7
Love this song,Positive,12,3
Wah,Positive,3,1
Ye meri bstie ka dmg haim i ryt  Hihu,Positive,28,10
Wah wah Wah!! Bari baat hai,Positive,22,6
Wah wah wah,Positive,9,3
Ya Elahi ya Elahi !,Positive,15,5
Khoobsurat alfaz ka chunao....,Positive,27,4
Beshak wo zaat bht azeem hy,Positive,22,6
Buht aala,Positive,8,2
Khudari aur emandari k alaa namoony,Positive,30,6
Hansna tha is py? Not funny n good morning ,Positive,34,10
"bhai tu kab aa raha hai lene, Mars nhn jana kya ",Positive,37,12
Master of MUK MUKA,Positive,15,4
Acha to PMLN k under to Pakistan na bht taraki ke ha,Positive,41,12
Wah wah wah larki Allah tumh aqal de,Positive,29,8
Apki soch ko 21 topo ki salami,Positive,24,7
....That's one function saadgi,Positive,27,4
Yh saadgi he tw h jo 18000 wala he lg rha h lhenga ,Positive,38,14
apke liyeHe is good di ama,Positive,21,6
Agr yeh sadgi hai to is saadgi sy ALLAH bchaye,Positive,37,10
Thank you for sparing some time from Indian Film Industry!,Positive,49,10
such a great personality,Positive,21,4
Oh ho,Positive,4,2
Oh ho,Positive,4,2
Very good bro nice,Positive,15,4
Good,Positive,4,1
Tere paida hony ki waja b shehbaz shareef hai chutiye,Positive,44,10
Good played,Positive,10,2
super match,Positive,10,2
V good,Positive,5,2
MashaAllah,Positive,10,1
ISLAM MUBARAK,Positive,12,2
good,Positive,4,1
Good,Positive,4,1
that is fast time good news,Positive,22,6
ISLAM MUBARAK,Positive,12,2
Good,Positive,4,1
Pti walon ko new guru zardari mubarak ho,Positive,33,8
Goood ri88 ,Positive,9,3
Very good,Positive,8,2
Subhan Allah beshak,Positive,17,3
good,Positive,4,1
Keep it up Pia its good for friendly environment,Positive,40,9
GOOD JOB,Positive,7,2
Great work pia Pakistan zinda bad,Positive,28,6
Good,Positive,4,1
Great,Positive,5,1
I would love to learn this art,Positive,24,7
"Wow great talent,Masha Allah",Positive,25,4
Good job,Positive,7,2
Great work,Positive,9,2
Very good g,Positive,9,3
I love this art,Positive,12,4
Boht khoob,Positive,9,2
Good,Positive,4,1
Good,Positive,4,1
Good,Positive,4,1
Pak Army zindabaad,Positive,16,3
Pak Army. Zindabad.,Positive,17,3
Thank you Nawaz Shareef ,Positive,20,5
Thank you Nawaz Shareef ,Positive,20,5
Tank's pak army,Positive,13,3
MashaAllah,Positive,10,1
pak army zindabad and live long,Positive,26,6
Good news,Positive,8,2
Thank you Pa k Army,Positive,15,5
Thanks pak army,Positive,13,3
Good g,Positive,5,2
good,Positive,4,1
Achy khaber hai,Positive,13,3
Mashaallah.,Positive,11,1
Deeer ala yar,Positive,11,3
Ya choor hea par koi cease nahi es par wah tare shan,Positive,41,12
Great addition for PTI,Positive,19,4
very good wellcome,Positive,16,3
Love u khan,Positive,9,3
very good,Positive,8,2
Pti kabhi bhi nei jeet sakti,Positive,23,6
Good pti,Positive,7,2
Haq ki awaz Imran Khan,Positive,18,5
Good,Positive,4,1
Good,Positive,4,1
v gOOd razahayat,Positive,14,3
Good,Positive,4,1
Good,Positive,4,1
good,Positive,4,1
Oh sorry saman apko tag nahi karna tha ,Positive,31,9
Wrna amma ne kaam pe laga dena hai*,Positive,28,8
MashaAllah ,Positive,10,2
Hahahahahahahahahahahahahahaha ohhhh great,Positive,40,3
Kn chintooo aa jedii shadii joi a,Positive,27,7
Cute ,Positive,4,2
Acha ye kya hota,Positive,13,4
mubarak,Positive,7,1
 phuppo hi ni meri. ..,Positive,17,6
Acha ..ye km shuro kr dia ab ,Positive,22,8
Acha ..tell thn ,Positive,13,4
Tumari shadi 2 saal baad hogi wo b achanak.... kisi czn se,Positive,47,12
Ye mazak nai haqeeqat ha,Positive,20,5
Meri b shadi krwao huhhh,Positive,20,5
Khana me khud garam karlunga,Positive,24,5
Acha,Positive,4,1
Hahahahahha acha nhi ho ga,Positive,22,5
Ameenn..ALLAH zuban mubarak kre,Positive,28,4
Ary wah u pamist,Positive,13,4
Acha,Positive,4,1
mubarak,Positive,7,1
umeed kis se lagayen,Positive,17,4
Main Aisa nai hon .... I am shareef larka,Positive,33,9
rehmat ...,Positive,9,2
Haha abey ala bachodi pel di,Positive,23,6
lololol. video ka caption parh lijiye dost.,Positive,37,7
allah pak janatul firdus main alla maqam day ameen,Positive,42,9
Khuda jnnt main aala moqaam atta frmaye,Positive,33,7
Allah maghfirat farmaye Aameen,Positive,27,4
Allah nazia KO jannat ka allaw muqaam atta farmaey,Positive,42,9
ALLAH pak apni rahmat mien jaga day. Aamen,Positive,35,8
Allah pak apni rehmat farmaye amen.,Positive,30,6
Allah insaf karna Wala ha,Positive,21,5
End pe Kamal kar gai...... ,Positive,22,6
InshAllah zaroor,Positive,15,2
Mujay sb say zyada wo pasand I thi.,Positive,28,8
"Bht alaw 
Sab say fit wo awaz ha ""kuray wala """,Positive,36,11
Meri eid ,Positive,7,3
a great page.. bhttt awla. luv u all guys :),Positive,35,10
Love uh.. ,Positive,8,3
love you to,Positive,9,3
apki eid,Positive,7,2
Hahaha meri story..,Positive,17,3
Ye achi a... Nimra esy sponser mardo,Positive,30,7
Hahaha dear proper dupata kr lo very good video,Positive,39,9
Video bht ala h yar …,Positive,16,6
haahhahahahahahaah tera b yehi hal he,Positive,32,6
Lannat ha har os dost peh jo eid k din b ap ko time na dai apna,Positive,47,17
Ye tou meri Eid kay bare me hey,Positive,24,8
ahhaha last seeen kammmaaaaaalll hy haqeeqat hy ,Positive,41,8
Dekh bc ye Meri story bss isi lye iss Eid Socha rehn dy,Positive,43,13
Hahha sabar kar allah sabar karna walo ka sath ha,Positive,40,10
izzat ke lyek ho tou du na,Positive,20,7
bx baji diso tha hal ,Positive,16,6
Hahahahahahahahahahahaha kamal kr di hahaha,Positive,39,5
Tera yh hal haina jbi tu rdy na hoe ,Positive,27,10
Sahi keh rhi ho .. ix ka yahi hal ha ,Positive,27,11
yr tm.tw wese hi pyary ho,Positive,20,6
Jani you h9,Positive,9,3
Hahahahhaha alla yr...,Positive,20,3
hijab style,Positive,10,2
tera ay haal hunda aa ,Positive,17,6
Hahahha hn yrrr asa he ho ta hn har eid par,Positive,33,11
"Mre jse suhki hai
Bqi e se achii guzrii eid",Positive,35,9
 meri story,Positive,9,3
Haqeeqat aa,Positive,10,2
acha matlab fiza ki eid pictures m hi hoti h,Positive,35,10
guzar gai eid aik dosry ka intazar krty krty,Positive,36,9
Is liye toh eid enjoy kr rahi hn,Positive,25,8
this is how I spend my Eid every time,Positive,29,9
Muneeza   our second day of eid :D,Positive,26,9
Shadi say phelaye ki eid aisi hoti thi,Positive,31,8
koi hal ni,Positive,8,3
Eid Mubarak Pakistan,Positive,18,3
Wah bhei acting achi hy,Positive,19,5
Aisi boring eid tau sachii meri hoti,Positive,30,7
Leken is eid pr me teno din apni frndzx k ghr gai thi ,Positive,41,14
meri eye brows ni bni hui,Positive,20,6
Kbi laye ga khuda ham py b acha waktt,Positive,29,9
Merii nai guzartii esii shukar ha,Positive,28,6
this is your eid ,Positive,13,5
tmhari eid,Positive,9,2
Hm toh har eid pr milte hen pr ajkal ,Positive,28,10
Khair Mubarak apko b Mubarak,Positive,24,5
You look good #Admin,Positive,17,4
EID MUBARAK JANAB and to all ,Positive,23,7
kamal kr dea Panday G <3,Positive,19,6
Alaa bani ha ,Positive,10,4
Thank you thank you ,Positive,16,5
Thank you Uroosa ,Positive,14,4
Kamal... ,Positive,8,2
Wow The Video is Awesome & Perfect Masg For All Pakistanies,Positive,49,11
Great video. Great message.,Positive,24,4
"great message yr,,,",Positive,17,3
Good work nimra,Positive,13,3
Boht zaberdast video! The best video ever,Positive,35,7
Great work ,Positive,9,3
Excellent bhaio... good Danish khan!,Positive,32,5
I love Pakistan,Positive,13,3
"Great msg 
keep it up  ",Positive,17,7
Great effort,Positive,11,2
Wah yr bht zabardast,Positive,17,4
Pakistan zindabad  love you Pakistan ,Positive,31,7
Zabardast <3,Positive,11,2
Good one,Positive,7,2
Good idea,Positive,8,2
Video k bgair kaam chal sakta? ,Positive,25,7
"Awww ☺️ Thank You , Thank You",Positive,23,7
Saalgira mubarak :),Positive,17,3
Lekin bijli kharaknay ki awaaz nahi arahi...,Positive,38,7
Bijli kharakti hai? XD,Positive,19,4
wah,Positive,3,1
Kamal dost ,Positive,9,3
Haha. Awsm video kzn. Good one,Positive,25,6
Ha ha ha ha ha Nice msg ha ha ha omg super,Positive,31,12
love it,Positive,6,2
Kamal,Positive,5,1
Oh no! Bhul gaye hum..Ye bhi use kr leni chahye thi..,Positive,43,11
Cute :P,Positive,6,2
Wah.. he was the person behind the camera,Positive,34,8
Thank you.. the video has been uploaded..do check it out ,Positive,47,11
amazing ...maza aha gaya daikh kr bhi ,Positive,31,8
hahaahahhaau achi Hy Keeep it up,Positive,27,6
hahaha good try,Positive,13,3
Oh wow.... Beautiful..... <3,Positive,25,4
Hahaaa good one,Positive,13,3
Great job,Positive,8,2
Ab esy real face exprtn ma maza atha haia k over acting ma,Positive,46,13
Good one,Positive,7,2
Nice but funny ,Positive,12,4
Happy Eid In Advance Namra,Positive,22,5
Thank you so much .. same to you! :D,Positive,28,9
Good one....,Positive,11,2
Thank you so much,Positive,14,4
Thank you so much,Positive,14,4
Thank you very much,Positive,16,4
Haha thank you so much ,Positive,18,6
hahaha bilkul perfect naqsha khencha,Positive,32,5
Lol thank you so much ,Positive,17,6
Thank you.. same to you ,Positive,19,6
Yar wo jo start may left wali BANDI hay na BARI KAMAL hay CUTE,Positive,49,14
Hahaha thank you g ,Positive,15,5
Hahaha thank you g ,Positive,15,5
Eid Mubarak ho ge,Positive,14,4
Kher mubarak,Positive,11,2
Shukar dangl nahi howa ,Positive,19,5
Bht alaw,Positive,7,2
Thank you so much,Positive,14,4
Thank you so much ,Positive,14,5
good work as always,Positive,16,4
Good msg. keep it up ,Positive,16,6
funny,Positive,5,1
Acha kaam KR rhy ho bachOon,Positive,22,6
Thank you so much ,Positive,14,5
Thank you so much ,Positive,14,5
Good 1,Positive,5,2
Start video so funny but last nice message,Positive,35,8
great inspiration,Positive,16,2
Ab Allah izzat rkh le batain to bht ho gaien ,Positive,35,11
Mtlb India Pak ka final me TAAKRA nhi hona?,Positive,35,9
Ye chotu ka motu se zyda acha role hota hamesha... esa q? ,Positive,46,13
Kamal ha yr kasam sa ye lrki BHT Relented ha,Positive,35,10
Zaberdst,Positive,8,1
Good manners ,Positive,11,3
Bhai wo kaptaan hai  post mai pehlay hee mention hai wo,Positive,44,12
Post Mayn Pehlay Mention Nahi Tha,Positive,28,6
Selfie master Ahmed Shahzad,Positive,24,4
I love lahore qalandars,Positive,20,4
Great day for whole Pakistan,Positive,24,5
I love you,Positive,8,3
I Love you Lahore Qalandars G,Positive,24,6
Good,Positive,4,1
Good news,Positive,8,2
Good game bro,Positive,11,3
Very good Lahore Qalandars,Positive,23,4
ny to bht umda prfomce di hy.tum apny lahore ki fkr kro,Positive,44,12
Theek hai,Positive,8,2
Lahore Love Karachi Hahahaha,Positive,25,4
Great,Positive,5,1
True but its the league of pakistan and we are proud of it,Positive,46,13
good,Positive,4,1
I Love you Lahore Qalandrs,Positive,22,5
Hahaha tu murs h to aja kl k match p zalmi meri,Positive,36,12
Mujy manzor h zalmi meri a jao,Positive,24,7
I love zalmi,Positive,10,3
I love zalmi,Positive,10,3
I love krachi,Positive,11,3
Match ka maza aa gya tha,Positive,19,6
Hahaha love Qalandars,Positive,19,3
Next time trophy apni a dont worry,Positive,28,7
Bohat achy,Positive,9,2
Love you fawad ranaa:-) :-) :-) :-) :-) :-) :-),Positive,38,10
Good...,Positive,7,1
I Love your Lahore Qalandrs Very good,Positive,31,7
Its a Good Decisions of micky ..... We appreciate It ......,Positive,49,11
Lahore Qalandars Very good 2019,Positive,27,5
G Lahore Qalandars 2019 Ok G Very good,Positive,31,8
Lahore Qalandars I Love you 2019 Very good,Positive,35,8
Love,Positive,4,1
I Love your Lahore Qalandars Very nice 2019,Positive,36,8
Balkay sirf yahi khayal acha hai,Positive,27,6
I love Lahore qalandar,Positive,19,4
Love you too man,Positive,13,4
Rana Fawad sb great personALLAH PAK UNHY KHUSH RAKHYAMEEN,Positive,49,9
Jo hota achy K liye hota ha,Positive,21,7
Love LQ uncondtionly ...,Positive,21,4
I Love you Lahore Qalandars Very good,Positive,31,7
Thank you for your support,Positive,22,5
Love u lhr,Positive,8,3
Love you too,Positive,10,3
Psl ko he aag lga do,Positive,15,6
Good,Positive,4,1
Yar jeet jana ab har k bahir na hojana,Positive,30,9
2 match jeet k ye b ragarny ki batain krny lgy,Positive,36,11
Very good,Positive,8,2
Very good Lahore Qalandars I Love you,Positive,31,7
Tournament Se Nikal Gae Hain Kya Faida ,Positive,32,8
Good,Positive,4,1
Thank you for your support,Positive,22,5
"Yeh jazba nahi hai, hamdardi hai",Positive,27,6
Umer akmal ko nikal dena aglay saal inshallah jeet jae gae .,Positive,49,12
Good luck #QALANDARZ#DamaDamMast,Positive,30,3
Lahore Qalandars Love you,Positive,22,4
Good ...but it's bad that umar akmal is not in the team,Positive,44,12
Good,Positive,4,1
Thank you for your support,Positive,22,5
Oh no,Positive,4,2
Sab se pehley bowlnig kiya karoo,Positive,27,6
meri teamNice joke,Positive,16,3
Very good Lahore Qalandars,Positive,23,4
Thank you for your support we will win next year INSHALLAH,Positive,48,11
Itna gusa kyun jeet to gaye ab ... abi b maza nai aya kia?,Positive,45,14
Good team,Positive,8,2
Hhhhhhhh good luck,Positive,16,3
I Love your Lahore Qalandars,Positive,24,5
Good,Positive,4,1
Mubark ho akhir jeet he gy,Positive,21,6
Super,Positive,5,1
Good team,Positive,8,2
Lag raha ke jeet jain ge,Positive,19,6
Acha,Positive,4,1
Very good 2019 Lahore Qalandars,Positive,27,5
Lahore Qalandars I Love your G,Positive,25,6
Thank you for your support,Positive,22,5
Welly plyed qalandars love u a lot,Positive,28,7
Thank you for your support,Positive,22,5
I Love you Lahore Qalandars,Positive,23,5
Great man sacha PakistaniBig man,Positive,28,5
Lahore Qalandars I Love you,Positive,23,5
Great Man,Positive,8,2
Abhi tk to aa raha hai,Positive,17,6
Abhi ka sunao .. Maza a rha hai ,Positive,24,9
Love u Qalandars,Positive,14,3
yar haq maza ana match haar geye,Positive,26,7
Hanji bilkul apni hi aa,Positive,19,5
ahahahha zabardast,Positive,17,2
aala .. :p,Positive,8,3
doston ki bharpoor farmaish pe aik baar phr se arz kia hai :3,Positive,49,13
Bohat aala :),Positive,11,3
anmol baat,Positive,9,2
offensive for the guy who works on EXcel :D Lolz :D,Positive,41,11
bhaiii aaap apne cover faattuu ki gehri baaten smjha den :3,Positive,49,11
hahahahahaha bht khushi hoti :P,Positive,27,5
Acha te aethe scenr ki chal rya ay? :D,Positive,30,9
O teri khair :p isi liye mjy programming ni pasand :( :p,Positive,45,12
Is player ko check karo :P kitna acha khelti :P,Positive,38,10
Make-up ka Kamal he sab,Positive,19,5
Haan beauty tu hai ... casual bhi aur style bhi ,Positive,38,11
Aap ki izzat iss say zyaada banaa'ee hai Allah nay,Positive,41,10
"Sabar karo, aur parho.",Positive,19,4
Ghufrana Ishraq ya humhara status hay love burger,Positive,42,8
Oh my god sahi raaste pe chal rahe ho 🤣🤣,Positive,31,10
Muft muft sekha,Positive,13,3
Good,Positive,4,1
Buhut khob,Positive,9,2
Kash hm son kr thora sa soch lene yakin sab achcha ho jae ga,Positive,47,14
Bohat Aala baat... bilkul sahi kaha,Positive,30,6
Aik aik lafz kamal ka bola hai,Positive,24,7
Bohat Aala,Positive,9,2
Bahoot khub,Positive,10,2
Bahut achi bat hai thanks,Positive,21,5
BESHAK,Positive,6,1
Bahoot khub,Positive,10,2
Beshak,Positive,6,1
Zabardast ,Positive,9,2
buht khoob bemsal,Positive,15,3
Bohat khub,Positive,9,2
boht acha.....,Positive,13,2
Belkul sahe Lajawb,Positive,16,3
Beshak,Positive,6,1
Beshak.,Positive,7,1
Beshak,Positive,6,1
bohat achi batein hein,Positive,19,4
Beshak,Positive,6,1
Bohot he umda,Positive,11,3
Great bilkul sahi bat hai ..,Positive,23,6
Kundi sab app bi zaroor parna,Positive,24,6
MashaAllah yeh naseehat bhot achi h Amal Krne m liye ,Positive,43,11
Lajawab,Positive,7,1
Beshak,Positive,6,1
Allah Sub Ko Hidayat Day,Positive,20,5
BESHAK,Positive,6,1
Beshak is me koye shake nahe he,Positive,25,7
Beshak,Positive,6,1
Beshak,Positive,6,1
Zabardast,Positive,9,1
Wah mere bhen wah,Positive,14,4
Zabardast,Positive,9,1
Bohat bohat bohat khub,Positive,19,4
Beshak sahi kaha janab,Positive,19,4
Shubhanallah Beshak,Positive,18,2
bohat acha,Positive,9,2
Beshak,Positive,6,1
Zabardast lesson,Positive,15,2
Maza aa ga,Positive,8,3
Wah dost wah kya bat kihe,Positive,20,6
Apki aawaz bahot achi h bhai,Positive,23,6
Bahut achi bat bola hai masha allah,Positive,29,7
Great batay hain yarr,Positive,18,4
bahot acha kalam,Positive,14,3
Bhat achi batay han,Positive,16,4
Mashallha salamat rhe aap,Positive,22,4
"Yeh Urdu Muslim Song
Kithna acha hai...
Pls #Share",Positive,44,7
achi bat h smjny wali,Positive,17,5
Bhout umda,Positive,9,2
Wha kya baat hai,Positive,13,4
Ye ghalib sahab ka mastana pana lag raha he!,Positive,36,9
Sabar kejeay likhnay wala 70 Maon sy ziyada piyar karta hay,Positive,49,11
Or jisney likhi h wo to 70Maon sy b ziada pyar krny wala h,Positive,45,14
zabardast exceptional,Positive,20,2
Allah to 70 maaon sy ziada pyar krta hy .toba kro,Positive,39,11
"It's wrong, Allah pak p yaqeen rkho",Positive,29,7
Belkul. Galat,Positive,12,2
Kash MERI MAAN ZINDA HOTI...........,Positive,32,5
ALLAH 70maon say Ziada pyar krty hai,Positive,30,7
Allah pak maa s bhtr taqdeer likhta h,Positive,30,8
Bilkul theek kaha,Positive,15,3
Beshak Allah humein hidayat Atta farmay Ameen,Positive,39,7
Meri ankhon m pani aa gia,Positive,20,6
YAllah sb ko hidayat day ameen,Positive,25,6
Allah pak hr dil ko yahi jzba ata karey Ameen,Positive,36,10
Wah Ji Wah,Positive,8,3
ALLAH ka inaam hei orat ko buhat bardash de hei ...,Positive,41,11
W slam subah bakhair. Jumma Mubarak,Positive,30,6
"Walikum As salam
Besahak
Ap ko bhi Jumma mubarak",Positive,42,7
Nasar kazmi Was a great poat....,Positive,27,6
Bhot Aala,Positive,8,2
Behad khoob muhabat se hi ye dunya rangin hai,Positive,37,9
Kuch new post karo yaar wahi ghisa pita sher,Positive,36,9
Ye hi to mohabt h,Positive,13,5
Jis na pyar kiya us ka pass sakoon ni. Baki ka pass hay.....,Positive,48,13
Wah bahut khob,Positive,12,3
Wah la jawab nice,Positive,14,4
Bahut khoob,Positive,10,2
Very good yeh asi k qabil hai lanti larki,Positive,33,9
PAK zindabaaab,Positive,13,2
Good afridi ham tumare sath ha,Positive,25,6
Mashaallah,Positive,10,1
Good,Positive,4,1
Good news ha,Positive,10,3
Allah in zalmow say Pakistan ko mahfooz rakh,Positive,37,8
Pti M Ja Kar MNA Naak Ho Gaya Ab Jannat Mile Gi Hahhah,Positive,42,13
Good,Positive,4,1
good,Positive,4,1
Khan is great,Positive,11,3
Khan is great,Positive,11,3
Lala all the pakistani nation with u pak army zindabad.,Positive,46,10
Lala is Great Man and Lion....,Positive,25,6
Lala is great man,Positive,14,4
Great,Positive,5,1
Lala great man,Positive,12,3
Afridi good,Positive,10,2
Lala great men,Positive,12,3
Love lala,Positive,8,2
Proud of you lala,Positive,14,4
We love you lala,Positive,13,4
Well don afridi i am proud of you good luck,Positive,34,10
Lala is great man so Sweet,Positive,21,6
Great comrades,Positive,13,2
very good,Positive,8,2
hahahah bht achy ,Positive,14,4
good man,Positive,7,2
good man,Positive,7,2
Good,Positive,4,1
Rangeen mazaj pirni,Positive,17,3
Bus kar Yar ye Kia isue banaya,Positive,24,7
Great Lala,Positive,9,2
Lion of pakistan love u lala,Positive,23,6
Afidi is international hero ...,Positive,27,5
Good lala,Positive,8,2
Afridi is super man salam moona lala,Positive,30,7
Good,Positive,4,1
Shabas bsut achi bat he or bra faida hu ga,Positive,33,10
Dosra Salman taseer isko b koi qadri chayay,Positive,36,8
Great g,Positive,6,2
Subhan Allah Beshak,Positive,17,3
Subhan allah beshak allah ho akbar mashallah Subhan allah,Positive,49,9
Ya shaheed hy ar ap hans rahy toba,Positive,27,8
Beshak Shaheed zinda hain,Positive,22,4
MashaAllah,Positive,10,1
MashaAllah,Positive,10,1
Zabardast...Dera maza ba oki...,Positive,28,4
good,Positive,4,1
Masoom bachyAor bary bary dehshtgard b aye thy...,Positive,42,8
Ye subai hukumat nay banaya hai Nawaz Sharif nay nahi ,Positive,44,11
good,Positive,4,1
Desigen nahi soch badly,Positive,20,4
bhai flag acha ha or kuch mat lgna,Positive,27,8
wah begharat,Positive,11,2
Good nwes,Positive,8,2
Good geftr krdo,Positive,13,3
Good,Positive,4,1
Good,Positive,4,1
Congratulations Islamabad united champion 2k18 ,Positive,42,6
khair mubarak ap ko bhi mubarak,Positive,26,6
Masoom,Positive,6,1
Cute masoom,Positive,10,2
Wah g wah,Positive,7,3
hakeqat hy,Neutral,9,2
Aor aisy bahut km hain ryt,Neutral,21,6
jee ye to he,Neutral,9,4
Hmm jysa kro gy wysa bhru gy,Neutral,22,7
Ye kia hoa raha hain Pakistan main,Neutral,28,7
Ghreeb k ghr subh kia pkky ga??,Neutral,25,7
Ye kia bat hoe,Neutral,11,4
Ri8 but naseeb ki bat h 😔,Neutral,19,7
Ya post sabka laiy,Neutral,15,4
wo bhi apny,Neutral,9,3
"Intzar ki gharian bht dair se bja krti hain,",Neutral,36,9
Or Kia ki disty mard orat ki ya mard mard ki,Neutral,34,11
Koi shak nhe,Neutral,10,3
Boht ghari bat ha,Neutral,14,4
Hona hi tha yeh to 1 na 1 din,Neutral,21,9
In 1980 he went to England for tour,Neutral,28,8
They both were born at London,Neutral,24,6
"Yeh in ki pehli shadi thi, jis se in ka aik beta bhi hai",Neutral,43,14
In dono bachon ki paidaish London mein he hui,Neutral,37,9
She played a nurse role in “Emergency Ward” drama,Neutral,41,9
"In this page, you can see  Bushra Ansari biography in Urdr",Neutral,47,12
Bushra Ansari ki sakhsiyat ke kae roop hain,Neutral,36,8
Jab wo apne parents ke sath Islamabad muntaqil hui,Neutral,42,9
Emergency ward mein inho ne aik nurse ka role nibhaya,Neutral,44,10
Hahah khush feimi n galat feimi bhi lol,Neutral,32,8
Toh main nachu? 😒,Neutral,14,4
Aap jitna hi hun. Ab aap sochea 😌,Neutral,26,8
Nhi mila guthno mey. Kopri mey hai mera wala 😌,Neutral,37,10
Muje bhe,Neutral,7,2
Hume b ap :*,Neutral,9,4
Hahaha mje b,Neutral,10,3
Mjy b :p,Neutral,6,3
Zara c bhi :p,Neutral,10,4
:D :D sun lia ap ny,Neutral,14,6
zra si b nahi,Neutral,10,4
Yeh bohat zarory ha,Neutral,16,4
mujhe zaroorat nahi bibi. meray pass aik cleanware App hai,Neutral,49,10
Kya matlab?? :O,Neutral,13,3
sara kuch idhar hi pouchen gi??? :P,Neutral,29,7
Hahaha... Tuo chalain PM may aatay hain! :D,Neutral,36,8
G bilkul aapkay liay bohot zaroori hai,Neutral,32,7
jis ka pilaay hi saAf ho woo kiya kry,Neutral,29,9
aP logon k lye :D,Neutral,13,5
ap shuruwat kijye :p,Neutral,17,4
Tere zehan ki??? :P,Neutral,16,4
tum ne yahin se karwai hy,Neutral,20,6
Kasam se,Neutral,7,2
kya matlbbbb,Neutral,11,2
Mama ap b to ye khuaish ni rkhti kahin 😂😂😂,Neutral,33,10
kon hain ye log kahan s atay hain ye log 🤣🤣,Neutral,33,11
Kon hain ye log? Kahan se atay hain? 😂,Neutral,30,9
Hm pr mostly Jese ko tesa 😎,Neutral,21,7
Hahahahha har jaga politics 😂,Neutral,25,5
masoom khawateen ki masoom khawahshen😆😆,Neutral,35,5
or in dono k baray mai btanay wali ko  :D,Neutral,31,11
Ni bowa bolty,Neutral,11,3
Ji bilkul.,Neutral,9,2
Sae akhai puter,Neutral,13,3
Koi 3 4 saal bad main milwaon gi tmhn aisy mard sy 😄,Neutral,40,13
buhahahahahahaha dm mein tashreef laiye aap zara 😝,Neutral,43,8
Btw kiya nahi uthati? 😱,Neutral,19,5
nakhray 😏,Neutral,8,2
Wo bechara 1 truck chai ki patti mngwaega habibi xD,Neutral,42,10
Q tm hoge kya? 😂😂,Neutral,13,5
AnWãr  Rasheed yeh yeh kr k dikhao,Neutral,27,8
Ab to wo wqt hy kesa b ho chalay ga 😂,Neutral,27,11
mujhy lgta hai mein hi kamaoun g :p,Neutral,28,8
tmhara khayal agya mjhy ye post dekh k pta nahin q😆😆😆,Neutral,43,11
Kitna kamata hai app xD ?,Neutral,20,6
App kitna kamati he,Neutral,16,4
ahahah or usko chor jany waly ko kia kehty hain? 😂,Neutral,40,11
Mera b add dy dena apny sath 😂😂😂😂,Neutral,26,8
So now we know how to gauge prospects,Neutral,30,8
btao btao ye ks pe set ho rha hai 😁😂😂,Neutral,28,10
Mjhe kia pta😂😂,Neutral,12,3
Smhj to tm ge ho 😂,Neutral,13,6
Nai mjhe nai pta tm nam lo na uska😝😝,Neutral,28,9
Han pgl hon na me us ka name lon,Neutral,24,9
jobless dhondne wali ko kya kehte hain?🤔🤔,Neutral,35,7
Aisy tu na keh 😂,Neutral,12,5
Chal OS parhain ab 😭,Neutral,16,5
yeh kameyaabi ub tm py chour di😂😂😂,Neutral,28,7
humari yahi search 😝🤪🤣,Neutral,19,4
chal kama zada sara 🤣,Neutral,17,5
ho phir tum kamyab aurat?,Neutral,21,5
Haha  sach bol diya hai,Neutral,18,6
kia m lucky hon 😂😂😂,Neutral,15,5
Pta nhi,Neutral,6,2
Pata kr k btayen,Neutral,13,4
Time lgy ga,Neutral,9,3
Just pasia haasil karna hi kamyabi hai orat k liye?,Neutral,42,10
In dono k baray me bataney wale ko masseha kahaty he Taby Gul,Neutral,49,13
Or jinko aisy mard nh milty unko hum kehty hain😂😁😁😃,Neutral,42,10
main kb bnuge kamyaab aurat?😂😂😂,Neutral,27,5
Apko lg raha ho ga mgr jo bat hai wo to me boln g,Neutral,36,14
batao kaun kaamyaab hai hum main se? 😂,Neutral,31,8
aisaa mard dhondho 😂,Neutral,17,4
abi meri tlaash isi liy jaari hy😂😂😂😂,Neutral,30,7
kya aap ek kamyab aurat hai?,Neutral,23,6
ap kamyab bnna chahain gy?😂😂😂,Neutral,25,5
Ap kamyab ban’na chahain gi ?,Neutral,24,6
dhoondh doou koii 😂😂,Neutral,17,4
Samjh joa bas yeh baat,Neutral,18,5
Smjh gai hon 😂,Neutral,11,4
smj tuo giya ho ga,Neutral,14,5
Ab rulayegi kya pagli😭😭,Neutral,20,4
Inni bari aur moti taazi 🦎 the wo cap hatta Dene ha us NY 😛,Neutral,45,15
tm log ye school k liye ly lo 😉😉😉😉,Neutral,26,9
😆😆 smjh to gae hun ge ap cup ki jgh kch r ho toooo,Neutral,37,14
"mery sath rehna hy hostel tw mngwa ly., 😂😂",Neutral,34,9
hostel mei esa hi ek cup rkh lena tha 😂😂😂,Neutral,32,10
tere samne is cup m chae pini chaye😂,Neutral,29,8
